ID,Ablation coef.,Atmosphere,Crater rad. (min),Frag sep coef (max),Frag sep coef (min),Mass SFD exp.,Max. density,Med. strength,Min. density,Min. mass,Samples,Strength exp. (max),Strength exp. (min),Var. strength,Drag coef.,Crater scaling,Break-up mode,Fragment mass disp.,Strength scaling disp.,Lift coef.
196,4.20E-08,1,0.5,2.2,0.6,0.926,4000,330,1400,15,100000,0.4,0.25,1.25,1,CS,2,0.9,0.5,0.02
197,4.20E-08,1,0.5,2.2,0.6,0.926,4000,330,1400,15,100000,0.4,0.25,1.25,1,CS,2,0.9,0.5,0.02
198,4.20E-08,1,0.5,2.2,0.6,0.926,4000,330,1400,15,100000,0.4,0.25,1.25,1,CS,2,0.9,0.5,0.02
200,4.20E-08,1,0.5,2.2,0.6,0.926,4000,250,1400,15,100000,0.4,0.25,1.5,1,CS,1,0.9,0.5,0.02
201,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.02
202,4.20E-08,1,0.5,1.1,1.1,0.926,4000,100,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.02
203,4.20E-08,1,0.5,1.1,1.1,0.926,4000,200,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.02
204,4.20E-08,1,0.5,1.1,1.1,0.926,4000,500,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.02
205,4.20E-08,1,0.5,1.1,1.1,0.926,4000,1000,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.02
206,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,0.5,1,CS,2,0.9,0.5,0.02
207,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,0.75,1,CS,2,0.9,0.5,0.02
208,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,1,1,CS,2,0.9,0.5,0.02
209,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.5,1,CS,2,0.9,0.5,0.02
210,4.20E-08,1,0.5,0.1,0.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.02
211,4.20E-08,1,0.5,0.6,0.6,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.02
212,4.20E-08,1,0.5,1.6,1.6,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.02
213,4.20E-08,1,0.5,2.1,2.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.02
214,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.01
215,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.015
216,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.025
217,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.5,0.03
218,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0,0.02
219,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.25,0.02
220,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,0.75,0.02
221,4.20E-08,1,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.25,0.25,1.25,1,CS,2,0.9,1,0.02
257,4.20E-08,0,0.5,1.1,1.1,0.926,4000,330,1400,15,100000,0.4,0.25,1.25,1,CS,2,0.9,0.5,0.02