ID,Effective Diameter [m],Dispersion [m],Aspect Ratio,f Larger than D,n Larger than D,No. of Craters
925,4,0,1,1,1,1
490,2.49,0,1,1,1,1
1037,3.04,0,1,1,1,1
1141,6.25,0,1,1,1,1
900,12,0,1,1,1,1
971,4.68,0,1,1,1,1
476,7.35,0,1,1,1,1
642,8.4,0,1,1,1,1
972,1.39,0,1,1,1,1
666,8.59,0,1,1,1,1
599,1.75,0,1,1,1,1
919,3.9,0,1,1,1,1
16,4,0,1,1,1,1
234,6.47,0,1,1,1,1
1144,4.44,0,1,1,1,1
1041,3,0,1,1,1,1
643,6.24,0,1,1,1,1
132,11,0,1,1,1,1
522,2,0,1,1,1,1
873,4.23,0,1,1,1,1
1205,3.75,0,1,1,1,1
873,4.23,0,1,1,1,1
498,9.86,0,1,1,1,1
701,7.64,0,1,1,1,1
218,1.75,0,1,1,1,1
1163,1.7,0,1,1,1,1
566,4,0,1,1,1,1
928,3.12,0,1,1,1,1
1156,2.51,0,1,1,1,1
1181,1.5,0,1,1,1,1
1301,5.67,,,,,
1253,4.86,0,1,1,1,1
430,4.5,0,1,1,1,1
168,7.78,0,1,1,1,1
770,3.2,0,1,1,1,1
598,2,0,1,1,1,1
1104,3.75,0,1,1,1,1
1089,3.32,0,1,1,1,1
555,4.7,0,1,1,1,1
78,3.73,0,1,1,1,1
577,2.6,0,1,1,1,1
873,4.23,0,1,1,1,1
847,3.46,0,1,1,1,1
393,3.46,0,1,1,1,1
195,20.56,0,1,1,1,1
50,15.62,0,1,1,1,1
993,1.58,0,1,1,1,1
1106,17.63,0,1,1,1,1
972,1.39,0,1,1,1,1
907,7.56,0,1,1,1,1
545,2.2,0,1,1,1,1
781,4.37,0,1,1,1,1
215,8,0,1,1,1,1
1072,5.85,0,1,1,1,1
505,7.05,0,1,1,1,1
79,5.74,0,1,1,1,1
493,4.27,0,1,1,1,1
781,4.37,0,1,1,1,1
1212,7.94,0,1,1,1,1
761,2.81,0,1,1,1,1
911,8.09,0,1,1,1,1
1118,2.59,0,1,1,1,1
518,5.03,0,1,1,1,1
1004,11.65,0,1,1,1,1
545,2.2,0,1,1,1,1
489,4.01,0,1,1,1,1
281,9.98,0,1,1,1,1
154,3.13,0,1,1,1,1
561,4,0,1,1,1,1
343,6.38,0,1,1,1,1
8,8,0,1,1,1,1
1301,5.67,,,,,
642,8.4,0,1,1,1,1
752,9.72,0,1,1,1,1
623,4.15,0,1,1,1,1
398,5.5,0,1,1,1,1
453,2.11,0,1,1,1,1
67,53.9,0,1,1,1,1
1078,23.74,0,1,1,1,1
159,2.91,0,1,1,1,1
307,11.29,0,1,1,1,1
668,6.1,0,1,1,1,1
907,7.56,0,1,1,1,1
848,5.09,0,1,1,1,1
1144,4.44,0,1,1,1,1
154,3.13,0,1,1,1,1
975,8.98,0,1,1,1,1
1162,15.59,0,1,1,1,1
649,6.19,0,1,1,1,1
894,9.36,0,1,1,1,1
1205,3.75,0,1,1,1,1
881,6.63,0,1,1,1,1
1167,9.16,0,1,1,1,1
228,4.71,0,1,1,1,1
115,4.77,0,1,1,1,1
578,7.5,0,1,1,1,1
796,5.64,0,1,1,1,1
839,10.01,0,1,1,1,1
961,15.66,0,1,1,1,1
1263,6.82,0,1,1,1,1
686,3.47,0,1,1,1,1
1180,2.37,0,1,1,1,1
53,6.48,0,1,1,1,1
1268,4.98,0,1,1,1,1
747,4.7,0,1,1,1,1
53,6.48,0,1,1,1,1
892,5.75,0,1,1,1,1
806,5.5,0,1,1,1,1
91,5.35,0,1,1,1,1
513,2.58,0,1,1,1,1
1167,9.16,0,1,1,1,1
500,10.1,0,1,1,1,1
224,3.84,0,1,1,1,1
1141,6.25,0,1,1,1,1
336,4.08,0,1,1,1,1
1237,4.91,0,1,1,1,1
987,8.68,0,1,1,1,1
465,12.32,0,1,1,1,1
761,2.81,0,1,1,1,1
103,6.9,0,1,1,1,1
967,14.42,0,1,1,1,1
748,8.56,0,1,1,1,1
832,3.08,0,1,1,1,1
754,3.1,0,1,1,1,1
463,2,0,1,1,1,1
159,2.91,0,1,1,1,1
1007,3.06,0,1,1,1,1
737,7.81,0,1,1,1,1
645,7.36,0,1,1,1,1
299,18.08,0,1,1,1,1
993,1.58,0,1,1,1,1
489,4.01,0,1,1,1,1
1303,2.25,,,,,
208,2.75,0,1,1,1,1
684,3.47,0,1,1,1,1
984,5.85,0,1,1,1,1
215,8,0,1,1,1,1
138,3,0,1,1,1,1
1012,2,0,1,1,1,1
899,9.89,0,1,1,1,1
420,4.71,0,1,1,1,1
948,5.66,0,1,1,1,1
397,3.64,0,1,1,1,1
528,6.3,0,1,1,1,1
633,2.21,0,1,1,1,1
351,3.03,0,1,1,1,1
136,5.75,0,1,1,1,1
167,4.7,0,1,1,1,1
534,7.5,0,1,1,1,1
850,3.22,0,1,1,1,1
413,4.93,0,1,1,1,1
432,2.5,0,1,1,1,1
133,5.7,0,1,1,1,1
84,6,0,1,1,1,1
551,3.6,0,1,1,1,1
695,2.31,0,1,1,1,1
467,2.5,0,1,1,1,1
1125,7.37,0,1,1,1,1
1149,7.5,0,1,1,1,1
409,3.56,0,1,1,1,1
1,7,0,1,1,1,1
280,9.59,0,1,1,1,1
202,12.7,0,1,1,1,1
1130,9.71,0,1,1,1,1
53,6.48,0,1,1,1,1
1239,4.86,0,1,1,1,1
1001,4.75,0,1,1,1,1
944,17.5,0,1,1,1,1
691,2.21,0,1,1,1,1
801,4.22,0,1,1,1,1
104,5,0,1,1,1,1
1244,8.12,0,1,1,1,1
184,20,0,1,1,1,1
1272,3.26,0,1,1,1,1
428,5.27,0,1,1,1,1
1170,7.42,0,1,1,1,1
311,7,0,1,1,1,1
1233,5.11,0,1,1,1,1
1050,4.96,0,1,1,1,1
1039,3.64,0,1,1,1,1
770,3.2,0,1,1,1,1
977,19.46,0,1,1,1,1
1079,6.24,0,1,1,1,1
428,5.27,0,1,1,1,1
370,7,0,1,1,1,1
246,5.77,0,1,1,1,1
783,8.42,0,1,1,1,1
1331,10,,,,,
167,4.7,0,1,1,1,1
847,3.46,0,1,1,1,1
914,3.48,0,1,1,1,1
202,12.7,0,1,1,1,1
16,4,0,1,1,1,1
136,5.75,0,1,1,1,1
544,15.8,0,1,1,1,1
832,3.08,0,1,1,1,1
1065,4.78,0,1,1,1,1
527,5.2,0,1,1,1,1
324,6.24,0,1,1,1,1
226,4.69,0,1,1,1,1
826,8.63,0,1,1,1,1
196,4,0,1,1,1,1
640,2,0,1,1,1,1
617,4.25,0,1,1,1,1
367,13.85,0,1,1,1,1
819,3.63,0,1,1,1,1
604,1.5,0,1,1,1,1
853,2.59,0,1,1,1,1
6,2.9,0,1,1,1,1
103,6.9,0,1,1,1,1
1156,2.51,0,1,1,1,1
463,2,0,1,1,1,1
680,4.34,0,1,1,1,1
666,8.59,0,1,1,1,1
235,6.1,0,1,1,1,1
202,12.7,0,1,1,1,1
580,9.9,0,1,1,1,1
850,3.22,0,1,1,1,1
1290,7.59,,,,,
1237,4.91,0,1,1,1,1
455,7.05,0,1,1,1,1
400,3.7,0,1,1,1,1
863,3.01,0,1,1,1,1
294,14.82,0,1,1,1,1
737,7.81,0,1,1,1,1
475,15.7,0,1,1,1,1
671,7.55,0,1,1,1,1
1162,15.59,0,1,1,1,1
1290,7.59,,,,,
681,12.31,0,1,1,1,1
572,58.15,0,1,1,1,1
837,3.97,0,1,1,1,1
438,3.3,0,1,1,1,1
1010,9.57,0,1,1,1,1
1201,5.28,0,1,1,1,1
376,12.33,0,1,1,1,1
389,8.29,0,1,1,1,1
818,5.71,0,1,1,1,1
589,4.25,0,1,1,1,1
346,2.95,0,1,1,1,1
147,6.26,0,1,1,1,1
975,8.98,0,1,1,1,1
967,14.42,0,1,1,1,1
684,3.47,0,1,1,1,1
48,24.5,0,1,1,1,1
948,5.66,0,1,1,1,1
745,11.54,0,1,1,1,1
747,4.7,0,1,1,1,1
931,3.1,0,1,1,1,1
465,12.32,0,1,1,1,1
850,3.22,0,1,1,1,1
478,6.3,0,1,1,1,1
802,4.5,0,1,1,1,1
598,2,0,1,1,1,1
1307,2.75,,,,,
376,12.33,0,1,1,1,1
944,17.5,0,1,1,1,1
299,18.08,0,1,1,1,1
790,4.1,0,1,1,1,1
218,1.75,0,1,1,1,1
322,13.02,0,1,1,1,1
378,22.83,0,1,1,1,1
285,15,0,1,1,1,1
972,1.39,0,1,1,1,1
438,3.3,0,1,1,1,1
1114,0.9,0,1,1,1,1
1307,2.75,,,,,
918,4.82,0,1,1,1,1
184,20,0,1,1,1,1
626,3.09,0,1,1,1,1
833,3.41,0,1,1,1,1
1301,5.67,,,,,
922,15.6,0,1,1,1,1
272,36.4,0,1,1,1,1
572,58.15,0,1,1,1,1
1011,15.47,0,1,1,1,1
1244,8.12,0,1,1,1,1
680,4.34,0,1,1,1,1
847,3.46,0,1,1,1,1
1192,14.87,0,1,1,1,1
1148,10.75,0,1,1,1,1
313,9,0,1,1,1,1
84,6,0,1,1,1,1
503,4.5,0,1,1,1,1
867,3.51,0,1,1,1,1
492,3.1,0,1,1,1,1
656,48,0,1,1,1,1
914,3.48,0,1,1,1,1
873,4.23,0,1,1,1,1
684,3.47,0,1,1,1,1
513,2.58,0,1,1,1,1
322,13.02,0,1,1,1,1
1131,3.58,0,1,1,1,1
1080,3.41,0,1,1,1,1
743,4.02,0,1,1,1,1
1258,5.67,0,1,1,1,1
1144,4.44,0,1,1,1,1
640,2,0,1,1,1,1
789,4.39,0,1,1,1,1
1079,6.24,0,1,1,1,1
133,5.7,0,1,1,1,1
1144,4.44,0,1,1,1,1
1024,4,0,1,1,1,1
250,5.7,0,1,1,1,1
642,8.4,0,1,1,1,1
1004,11.65,0,1,1,1,1
1111,4.6,0,1,1,1,1
224,3.84,0,1,1,1,1
1212,7.94,0,1,1,1,1
154,3.13,0,1,1,1,1
1272,3.26,0,1,1,1,1
987,8.68,0,1,1,1,1
643,6.24,0,1,1,1,1
1167,9.16,0,1,1,1,1
394,6.34,0,1,1,1,1
373,3.2,0,1,1,1,1
1268,4.98,0,1,1,1,1
224,3.84,0,1,1,1,1
485,8.43,0,1,1,1,1
424,10.93,0,1,1,1,1
1303,2.25,,,,,
1258,5.67,0,1,1,1,1
1075,3.65,0,1,1,1,1
244,6.19,0,1,1,1,1
779,6.55,0,1,1,1,1
392,16.66,0,1,1,1,1
89,5.74,0,1,1,1,1
881,6.63,0,1,1,1,1
201,4.7,0,1,1,1,1
739,4.24,0,1,1,1,1
916,6.85,0,1,1,1,1
1111,4.6,0,1,1,1,1
668,6.1,0,1,1,1,1
1287,1.26,,,,,
511,15.95,0,1,1,1,1
307,11.29,0,1,1,1,1
1232,6.66,0,1,1,1,1
136,5.75,0,1,1,1,1
1228,5.49,0,1,1,1,1
640,2,0,1,1,1,1
354,5.14,0,1,1,1,1
136,5.75,0,1,1,1,1
598,2,0,1,1,1,1
599,1.75,0,1,1,1,1
326,4.54,0,1,1,1,1
63,6,0,1,1,1,1
1201,5.28,0,1,1,1,1
1241,13.33,0,1,1,1,1
1035,11.56,0,1,1,1,1
110,15,0,1,1,1,1
910,7.33,0,1,1,1,1
808,3.76,0,1,1,1,1
39,7.7,0,1,1,1,1
573,2.1,0,1,1,1,1
577,2.6,0,1,1,1,1
521,2.5,0,1,1,1,1
1162,15.59,0,1,1,1,1
1142,1.74,0,1,1,1,1
578,7.5,0,1,1,1,1
727,6.25,0,1,1,1,1
808,3.76,0,1,1,1,1
311,7,0,1,1,1,1
1292,1.5,,,,,
426,6.1,0,1,1,1,1
464,13.1,0,1,1,1,1
115,4.77,0,1,1,1,1
608,2,0,1,1,1,1
910,7.33,0,1,1,1,1
188,3.07,0,1,1,1,1
695,2.31,0,1,1,1,1
530,12.1,0,1,1,1,1
147,6.26,0,1,1,1,1
1134,2.5,0,1,1,1,1
608,2,0,1,1,1,1
1137,6.27,0,1,1,1,1
925,4,0,1,1,1,1
1263,6.82,0,1,1,1,1
531,8.1,0,1,1,1,1
208,2.75,0,1,1,1,1
905,2.88,0,1,1,1,1
873,4.23,0,1,1,1,1
513,2.58,0,1,1,1,1
1263,6.82,0,1,1,1,1
138,3,0,1,1,1,1
1011,15.47,0,1,1,1,1
1130,9.71,0,1,1,1,1
560,2.37,0,1,1,1,1
921,5.59,0,1,1,1,1
955,7.5,0,1,1,1,1
967,14.42,0,1,1,1,1
344,6.22,0,1,1,1,1
1034,4.47,0,1,1,1,1
56,16.73,0,1,1,1,1
22,6.22,0,1,1,1,1
117,8.4,0,1,1,1,1
6,2.9,0,1,1,1,1
808,3.76,0,1,1,1,1
975,8.98,0,1,1,1,1
910,7.33,0,1,1,1,1
165,8.83,0,1,1,1,1
423,5.32,0,1,1,1,1
971,4.68,0,1,1,1,1
894,9.36,0,1,1,1,1
27,25.2,0,1,1,1,1
132,11,0,1,1,1,1
1206,11.76,0,1,1,1,1
103,6.9,0,1,1,1,1
1273,2.27,0,1,1,1,1
693,3.69,0,1,1,1,1
359,10.13,0,1,1,1,1
1209,9.85,0,1,1,1,1
500,10.1,0,1,1,1,1
752,9.72,0,1,1,1,1
574,1.7,0,1,1,1,1
1210,3.76,0,1,1,1,1
642,8.4,0,1,1,1,1
196,4,0,1,1,1,1
929,5.05,0,1,1,1,1
201,4.7,0,1,1,1,1
1029,3.63,0,1,1,1,1
423,5.32,0,1,1,1,1
259,12.07,0,1,1,1,1
1196,6.71,0,1,1,1,1
358,5.83,0,1,1,1,1
687,3.81,0,1,1,1,1
944,17.5,0,1,1,1,1
132,11,0,1,1,1,1
1088,10.58,0,1,1,1,1
779,6.55,0,1,1,1,1
507,2.34,0,1,1,1,1
525,4.4,0,1,1,1,1
726,3.73,0,1,1,1,1
737,7.81,0,1,1,1,1
1075,3.65,0,1,1,1,1
1239,4.86,0,1,1,1,1
379,4.85,0,1,1,1,1
680,4.34,0,1,1,1,1
1176,2.16,0,1,1,1,1
696,6.45,0,1,1,1,1
511,15.95,0,1,1,1,1
415,2.67,0,1,1,1,1
159,2.91,0,1,1,1,1
159,2.91,0,1,1,1,1
110,15,0,1,1,1,1
494,17.54,0,1,1,1,1
752,9.72,0,1,1,1,1
1206,11.76,0,1,1,1,1
566,4,0,1,1,1,1
1156,2.51,0,1,1,1,1
808,3.76,0,1,1,1,1
426,6.1,0,1,1,1,1
1232,6.66,0,1,1,1,1
400,3.7,0,1,1,1,1
871,5.56,0,1,1,1,1
646,6.19,0,1,1,1,1
1240,4.53,0,1,1,1,1